Depth: 12.0 Dip: 90.0
2.5 0.0811 0.0813 11.96 12.04
2.6 0.0940 0.0942 11.95 12.05
2.7 0.1089 0.1091 11.95 12.05
2.8 0.1262 0.1265 11.94 12.06
2.9 0.1463 0.1466 11.93 12.07
3.0 0.1695 0.1698 11.92 12.08
3.1 0.1964 0.1968 11.90 12.10
3.2 0.2276 0.2280 11.89 12.11
3.3 0.2637 0.2642 11.87 12.13
3.4 0.3056 0.3062 11.85 12.15
3.5 0.3541 0.3548 11.82 12.18
3.6 0.4104 0.4111 11.79 12.21
3.7 0.4755 0.4764 11.76 12.24
3.8 0.5510 0.5521 11.72 12.28
3.9 0.6385 0.6397 11.68 12.32
4.0 0.7399 0.7413 11.63 12.37
4.1 0.8574 0.8590 11.57 12.43
4.2 0.9935 0.9954 11.50 12.50
4.3 1.1513 1.1535 11.42 12.58
4.4 1.3341 1.3366 11.33 12.67
4.5 1.5459 1.5488 11.23 12.77
4.6 1.7914 1.7947 11.10 12.90
4.7 2.0758 2.0797 10.96 13.04
4.8 2.4054 2.4099 10.80 13.20
4.9 2.7873 2.7925 10.60 13.40
5.0 3.2298 3.2359 10.38 13.62
5.1 3.7427 3.6559 10.17 13.83
5.2 4.3369 3.9446 10.03 13.97
5.3 5.0255 4.2560 9.87 14.13
5.4 5.8235 4.5920 9.70 14.30
5.5 6.7481 4.9545 9.52 14.48
5.6 7.8195 5.3456 9.33 14.67
5.7 9.0611 5.7677 9.12 14.88
5.8 10.4998 6.2230 8.89 15.11
5.9 12.1669 6.7143 8.64 15.36
6.0 14.0988 7.2444 8.38 15.62
6.1 16.3373 7.8163 8.09 15.91
6.2 18.9313 8.4333 7.78 16.22
6.3 21.9372 9.0991 7.45 16.55
6.4 25.4203 9.8175 7.09 16.91
6.5 29.4565 10.5925 6.70 17.30
6.6 34.1335 11.4287 6.29 17.71
6.7 39.5531 12.3310 5.83 18.17
6.8 45.8332 13.3045 5.35 18.65
6.9 53.1104 14.3548 4.82 19.18
7.0 61.5431 15.4880 4.26 19.74
7.1 71.3187 16.7106 3.29 20.00
7.2 82.6509 18.0298 1.97 20.00
7.3 95.7845 19.4530 0.55 20.00
7.4 110.9964 19.8992 0.10 20.00
7.5 128.6195 19.8990 0.10 20.00
7.6 149.0405 19.8986 0.10 20.00
7.7 172.7035 19.8982 0.10 20.00
7.8 200.1228 19.8975 0.10 20.00
7.9 231.8944 19.8967 0.10 20.00
8.0 268.7089 19.8956 0.10 20.00
