Depth: 10.0 Dip: 90.0
2.5 0.0812 0.0813 9.96 10.04
2.6 0.0940 0.0942 9.95 10.05
2.7 0.1090 0.1091 9.95 10.05
2.8 0.1263 0.1265 9.94 10.06
2.9 0.1463 0.1466 9.93 10.07
3.0 0.1696 0.1698 9.92 10.08
3.1 0.1965 0.1968 9.90 10.10
3.2 0.2277 0.2280 9.89 10.11
3.3 0.2638 0.2642 9.87 10.13
3.4 0.3057 0.3062 9.85 10.15
3.5 0.3543 0.3548 9.82 10.18
3.6 0.4105 0.4111 9.79 10.21
3.7 0.4757 0.4764 9.76 10.24
3.8 0.5512 0.5521 9.72 10.28
3.9 0.6387 0.6397 9.68 10.32
4.0 0.7401 0.7413 9.63 10.37
4.1 0.8577 0.8590 9.57 10.43
4.2 0.9938 0.9954 9.50 10.50
4.3 1.1516 1.1535 9.42 10.58
4.4 1.3345 1.3366 9.33 10.67
4.5 1.5464 1.5488 9.23 10.77
4.6 1.7919 1.7947 9.10 10.90
4.7 2.0764 2.0797 8.96 11.04
4.8 2.4061 2.4099 8.80 11.20
4.9 2.7882 2.7925 8.60 11.40
5.0 3.2309 3.2359 8.38 11.62
5.1 3.7438 3.6559 8.17 11.83
5.2 4.3383 3.9446 8.03 11.97
5.3 5.0271 4.2560 7.87 12.13
5.4 5.8253 4.5920 7.70 12.30
5.5 6.7502 4.9545 7.52 12.48
5.6 7.8220 5.3456 7.33 12.67
5.7 9.0640 5.7677 7.12 12.88
5.8 10.5031 6.2230 6.89 13.11
5.9 12.1708 6.7143 6.64 13.36
6.0 14.1032 7.2444 6.38 13.62
6.1 16.3425 7.8163 6.09 13.91
6.2 18.9373 8.4333 5.78 14.22
6.3 21.9441 9.0991 5.45 14.55
6.4 25.4283 9.8175 5.09 14.91
6.5 29.4657 10.5925 4.70 15.30
6.6 34.1442 11.4287 4.29 15.71
6.7 39.5655 12.3310 3.83 16.17
6.8 45.8476 13.3045 3.35 16.65
6.9 53.1272 14.3548 2.82 17.18
7.0 61.5625 15.4880 2.26 17.74
7.1 71.3371 16.7106 1.64 18.36
7.2 82.6637 18.0298 0.98 19.02
7.3 95.7886 19.4530 0.27 19.73
7.4 110.9964 19.8992 0.10 20.00
7.5 128.6195 19.8990 0.10 20.00
7.6 149.0405 19.8986 0.10 20.00
7.7 172.7035 19.8982 0.10 20.00
7.8 200.1228 19.8975 0.10 20.00
7.9 231.8944 19.8967 0.10 20.00
8.0 268.7089 19.8956 0.10 20.00
