Depth: 5.0 Dip: 90.0
2.5 0.0812 0.0813 4.96 5.04
2.6 0.0941 0.0942 4.95 5.05
2.7 0.1091 0.1091 4.95 5.05
2.8 0.1264 0.1265 4.94 5.06
2.9 0.1464 0.1466 4.93 5.07
3.0 0.1697 0.1698 4.92 5.08
3.1 0.1966 0.1968 4.90 5.10
3.2 0.2279 0.2280 4.89 5.11
3.3 0.2640 0.2642 4.87 5.13
3.4 0.3060 0.3062 4.85 5.15
3.5 0.3545 0.3548 4.82 5.18
3.6 0.4108 0.4111 4.79 5.21
3.7 0.4761 0.4764 4.76 5.24
3.8 0.5516 0.5521 4.72 5.28
3.9 0.6392 0.6397 4.68 5.32
4.0 0.7407 0.7413 4.63 5.37
4.1 0.8583 0.8590 4.57 5.43
4.2 0.9946 0.9954 4.50 5.50
4.3 1.1525 1.1535 4.42 5.58
4.4 1.3355 1.3366 4.33 5.67
4.5 1.5476 1.5488 4.23 5.77
4.6 1.7933 1.7947 4.10 5.90
4.7 2.0781 2.0797 3.96 6.04
4.8 2.4080 2.4099 3.80 6.20
4.9 2.7904 2.7925 3.60 6.40
5.0 3.2334 3.2359 3.38 6.62
5.1 3.7468 3.6559 3.17 6.83
5.2 4.3417 3.9446 3.03 6.97
5.3 5.0311 4.2560 2.87 7.13
5.4 5.8299 4.5920 2.70 7.30
5.5 6.7555 4.9545 2.52 7.48
5.6 7.8281 5.3456 2.33 7.67
5.7 9.0711 5.7677 2.12 7.88
5.8 10.5114 6.2230 1.89 8.11
5.9 12.1803 6.7143 1.64 8.36
6.0 14.1143 7.2444 1.38 8.62
6.1 16.3553 7.8163 1.09 8.91
6.2 18.9522 8.4333 0.78 9.22
6.3 21.9613 9.0991 0.45 9.55
6.4 25.4483 9.8175 0.09 9.91
6.5 29.4873 10.4925 0.10 10.59
6.6 34.1670 11.3287 0.10 11.43
6.7 39.5891 12.2310 0.10 12.33
6.8 45.8714 13.2045 0.10 13.30
6.9 53.1503 14.2548 0.10 14.35
7.0 61.5838 15.3880 0.10 15.49
7.1 71.3550 16.6106 0.10 16.71
7.2 82.6758 17.9298 0.10 18.03
7.3 95.7919 19.3531 0.10 19.45
7.4 110.9964 19.8992 0.10 20.00
7.5 128.6195 19.8990 0.10 20.00
7.6 149.0405 19.8986 0.10 20.00
7.7 172.7035 19.8982 0.10 20.00
7.8 200.1228 19.8975 0.10 20.00
7.9 231.8944 19.8967 0.10 20.00
8.0 268.7089 19.8956 0.10 20.00
